model,session,trial_number,state,p_state0,p_state1,p_state2,p_go,actual_choice,pupil_zscore,stim_strength
Original,243-R-mPFC-S1-NE_2023_01_20,99,2,0.0029701768634912066,0.02784542333046997,0.9691843998060404,0.46738896027689514,0,-0.06296429650859475,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,100,2,0.00039136748671782283,0.028711942374156627,0.970896690139127,0.4052710052306449,1,0.5014805261179289,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,101,2,0.00016408722956079408,0.029088056576940843,0.9707478561934977,0.9585291012924161,1,0.41314924677664355,0.25
Original,243-R-mPFC-S1-NE_2023_01_20,102,2,0.0006672245417858337,0.02948840889656693,0.9698443665616474,0.4151234320379369,1,0.4105943030273144,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,103,2,0.006081846442465179,0.029563111894449073,0.9643550416630827,0.1337485691210849,0,-0.07324122400501613,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,104,2,0.008230704477563019,0.030313163705696092,0.9614561318167425,0.20870257544230042,0,0.027810332386729444,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,105,2,0.006524085639098156,0.03280668154919628,0.9606692328117042,0.9999999988529968,1,0.359997379239461,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,106,2,0.006681740107929938,0.035271205563997224,0.9580470543280744,0.3796475955721086,0,0.7413770021219155,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,107,2,0.0013313748503771964,0.04131706842064224,0.9573515567289806,0.19096742848298226,1,0.2754689495667137,0.05
Original,243-R-mPFC-S1-NE_2023_01_20,108,2,0.00022163843815721764,0.04284991788370306,0.956928443678139,0.9997837514603481,1,1.5487292063194371,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,109,2,0.00017845018948669784,0.04441501019115283,0.9554065396193583,0.4486981532263819,1,0.10508905781614034,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,110,2,0.0001937829644628516,0.0452220473968384,0.9545841696387005,0.44445035909784636,1,0.14344662834162433,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,111,2,0.0004210551793891782,0.04555802726880997,0.9540209175518002,0.9999164774622086,1,-0.5746200168398656,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,112,2,0.000405803811522836,0.045890206694977724,0.9537039894935002,0.9998843064162692,1,0.15260713190933303,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,113,2,0.0008354884040328203,0.04622211073574489,0.952942400860222,0.9999999973273528,1,2.2478393831733032,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,114,2,0.0019394335597860874,0.04654307010327482,0.9515174963369406,0.9999999989214612,1,0.2226460017857012,1.0
Original,243-R-mPFC-S1-NE_2023_01_20,115,2,0.0026592774149973276,0.046852508329097174,0.9504882142559081,0.14159338511542072,0,-0.22074633073133945,0.025
Original,243-R-mPFC-S1-NE_2023_01_20,116,2,0.0002798042429575275,0.04832608587681078,0.9513941098802299,0.3021174589038878,1,1.5139744305676583,0.1
Original,243-R-mPFC-S1-NE_2023_01_20,117,2,0.00016231561385298435,0.04887922191488837,0.9509584624712555,0.9998022762512996,1,1.348821318785746,0.5
Original,243-R-mPFC-S1-NE_2023_01_20,118,2,0.0002389514137212957,0.049443248780010586,0.9503177998062654,0.9998766317787621,1,0.29596341817239685,0.5
